    Fribourg_Switzerland
    46.82,7.16,610,+1
	Ibn	Idh
1	0.00	0.00
2	0.00	0.00
3	0.00	0.00
4	0.00	0.00
5	0.00	0.00
6	0.00	0.00
7	0.00	0.00
8	0.00	0.00
9	0.00	7.00
10	463.01	46.00
11	260.92	77.00
12	870.44	54.00
13	637.39	112.00
14	202.72	161.00
15	19.95	114.00
16	4.52	44.00
17	18.67	5.00
18	0.00	1.00
19	0.00	1.00
20	0.00	0.00
21	0.00	0.00
22	0.00	0.00
23	0.00	0.00
24	0.00	0.00
25	0.00	0.00
26	0.00	0.00
27	0.00	0.00
28	0.00	0.00
29	0.00	0.00
30	0.00	0.00
31	0.00	0.00
32	0.00	0.00
33	0.00	11.00
34	45.09	55.00
35	53.04	90.00
36	34.18	149.00
37	132.97	191.00
38	204.80	210.00
39	42.98	127.00
40	4.48	64.00
41	9.15	13.00
42	0.00	1.00
43	0.00	1.00
44	0.00	0.00
45	0.00	0.00
46	0.00	0.00
47	0.00	0.00
48	0.00	0.00
49	0.00	0.00
50	0.00	0.00
51	0.00	0.00
52	0.00	0.00
53	0.00	0.00
54	0.00	0.00
55	0.00	0.00
56	0.00	0.00
57	0.00	8.00
58	11.24	45.00
59	4.81	29.00
60	34.07	92.00
61	44.16	76.00
62	2.91	29.00
63	6.57	40.00
64	13.32	38.00
65	17.94	12.00
66	0.00	1.00
67	0.00	1.00
68	0.00	0.00
69	0.00	0.00
70	0.00	0.00
71	0.00	0.00
72	0.00	0.00
73	0.00	0.00
74	0.00	0.00
75	0.00	0.00
76	0.00	0.00
77	0.00	0.00
78	0.00	0.00
79	0.00	0.00
80	0.00	0.00
81	0.00	4.00
82	11.19	25.00
83	4.79	41.00
84	3.40	30.00
85	5.86	31.00
86	5.80	37.00
87	3.26	31.00
88	4.40	15.00
89	0.00	6.00
90	0.00	1.00
91	0.00	0.00
92	0.00	0.00
93	0.00	0.00
94	0.00	0.00
95	0.00	0.00
96	0.00	0.00
97	0.00	0.00
98	0.00	0.00
99	0.00	0.00
100	0.00	0.00
101	0.00	0.00
102	0.00	0.00
103	0.00	0.00
104	0.00	0.00
105	18.18	12.00
106	411.63	40.00
107	434.39	88.00
108	612.22	122.00
109	251.10	195.00
110	118.22	146.00
111	16.22	100.00
112	21.77	60.00
113	17.21	19.00
114	0.00	2.00
115	0.00	1.00
116	0.00	0.00
117	0.00	0.00
118	0.00	0.00
119	0.00	0.00
120	0.00	0.00
121	0.00	0.00
122	0.00	0.00
123	0.00	0.00
124	0.00	0.00
125	0.00	0.00
126	0.00	0.00
127	0.00	0.00
128	0.00	0.00
129	18.30	12.00
130	99.43	81.00
131	57.03	136.00
132	20.21	142.00
133	2.91	122.00
134	2.87	89.00
135	3.22	62.00
136	4.31	33.00
137	16.84	4.00
138	0.00	1.00
139	0.00	1.00
140	0.00	0.00
141	0.00	0.00
142	0.00	0.00
143	0.00	0.00
144	0.00	0.00
145	0.00	0.00
146	0.00	0.00
147	0.00	0.00
148	0.00	0.00
149	0.00	0.00
150	0.00	0.00
151	0.00	0.00
152	0.00	0.00
153	0.00	4.00
154	21.92	16.00
155	9.46	28.00
156	3.35	50.00
157	2.89	48.00
158	2.85	65.00
159	6.39	46.00
160	8.53	26.00
161	16.48	8.00
162	0.00	1.00
163	0.00	1.00
164	0.00	0.00
165	0.00	0.00
166	0.00	0.00
167	0.00	0.00
168	0.00	0.00
169	0.00	0.00
170	0.00	0.00
171	0.00	0.00
172	0.00	0.00
173	0.00	0.00
174	0.00	0.00
175	0.00	0.00
176	0.00	0.00
177	0.00	11.00
178	21.71	35.00
179	9.41	45.00
180	6.67	98.00
181	5.75	63.00
182	5.67	112.00
183	6.34	104.00
184	8.43	57.00
185	0.00	10.00
186	0.00	1.00
187	0.00	1.00
188	0.00	0.00
189	0.00	0.00
190	0.00	0.00
191	0.00	0.00
192	0.00	0.00
193	0.00	0.00
194	0.00	0.00
195	0.00	0.00
196	0.00	0.00
197	0.00	0.00
198	0.00	0.00
199	0.00	0.00
200	0.00	0.00
201	0.00	5.00
202	21.48	35.00
203	14.02	116.00
204	16.59	123.00
205	5.72	118.00
206	42.24	171.00
207	37.77	133.00
208	79.21	91.00
209	7.88	22.00
210	0.00	1.00
211	0.00	1.00
212	0.00	0.00
213	0.00	0.00
214	0.00	0.00
215	0.00	0.00
216	0.00	0.00
217	0.00	0.00
218	0.00	0.00
219	0.00	0.00
220	0.00	0.00
221	0.00	0.00
222	0.00	0.00
223	0.00	0.00
224	0.00	0.00
225	19.21	15.00
226	276.02	65.00
227	366.83	139.00
228	164.92	157.00
229	5.69	140.00
230	8.39	140.00
231	6.24	74.00
232	8.24	29.00
233	7.71	14.00
234	0.00	2.00
235	0.00	1.00
236	0.00	0.00
237	0.00	0.00
238	0.00	0.00
239	0.00	0.00
240	0.00	0.00
241	0.00	0.00
242	0.00	0.00
243	0.00	0.00
244	0.00	0.00
