    Fribourg_Switzerland
    46.82,7.16,610,+1
	m	d	h	#sunAzimuth	sunAltitude
1	1	1	0	340.871	-65.2778
2	1	1	1	14.5101	-65.7003
3	1	1	2	43.3464	-60.6698
4	1	1	3	63.5788	-52.3974
5	1	1	4	78.2206	-42.7015
6	1	1	5	89.9971	-32.5026
7	1	1	6	100.475	-22.2925
8	1	1	7	110.579	-12.4119
9	1	1	8	120.931	-3.17299
10	1	1	9	131.997	5.08023
11	1	1	10	144.105	11.9442
12	1	1	11	157.381	16.9662
13	1	1	12	171.629	19.7132
14	1	1	13	186.295	19.8995
15	1	1	14	200.644	17.5043
16	1	1	15	214.079	12.7812
17	1	1	16	226.351	6.15077
18	1	1	17	237.549	-1.93106
19	1	1	18	247.977	-11.052
20	1	1	19	258.083	-20.8607
21	1	1	20	268.461	-31.0431
22	1	1	21	279.977	-41.2682
23	1	1	22	294.077	-51.0773
24	1	1	23	313.301	-59.6372
25	1	2	0	340.679	-65.1757
26	1	2	1	14.229	-65.6413
27	1	2	2	43.0833	-60.654
28	1	2	3	63.3664	-52.4067
29	1	2	4	78.0461	-42.7221
30	1	2	5	89.8456	-32.5261
31	1	2	6	100.336	-22.3137
32	1	2	7	110.447	-12.4267
33	1	2	8	120.801	-3.17766
34	1	2	9	131.867	5.08933
35	1	2	10	143.975	11.9706
36	1	2	11	157.254	17.0126
37	1	2	12	171.511	19.7808
38	1	2	13	186.193	19.9868
39	1	2	14	200.561	17.6077
40	1	2	15	214.016	12.8961
41	1	2	16	226.307	6.27297
42	1	2	17	237.518	-1.80474
43	1	2	18	247.957	-10.9236
44	1	2	19	258.069	-20.7314
45	1	2	20	268.449	-30.9136
46	1	2	21	279.961	-41.1389
47	1	2	22	294.043	-50.9492
48	1	2	23	313.215	-59.5148
49	1	3	0	340.495	-65.0663
50	1	3	1	13.9481	-65.5743
51	1	3	2	42.8141	-60.6307
52	1	3	3	63.1468	-52.4094
53	1	3	4	77.8647	-42.7365
54	1	3	5	89.688	-32.5438
55	1	3	6	100.192	-22.329
56	1	3	7	110.31	-12.4354
57	1	3	8	120.667	-3.17597
58	1	3	9	131.733	5.10516
59	1	3	10	143.842	12.0041
60	1	3	11	157.126	17.0665
61	1	3	12	171.393	19.8559
62	1	3	13	186.092	20.0816
63	1	3	14	200.482	17.7182
64	1	3	15	213.958	13.0175
65	1	3	16	226.267	6.40107
66	1	3	17	237.493	-1.6731
67	1	3	18	247.943	-10.7904
68	1	3	19	258.062	-20.5976
69	1	3	20	268.445	-30.7797
70	1	3	21	279.953	-41.005
71	1	3	22	294.018	-50.8161
72	1	3	23	313.139	-59.3865
73	1	4	0	340.319	-64.9496
74	1	4	1	13.6677	-65.4992
75	1	4	2	42.5393	-60.5999
76	1	4	3	62.9202	-52.4055
77	1	4	4	77.6767	-42.7449
78	1	4	5	89.5245	-32.5555
79	1	4	6	100.043	-22.3384
80	1	4	7	110.168	-12.438
81	1	4	8	120.529	-3.16787
82	1	4	9	131.596	5.12774
83	1	4	10	143.707	12.0447
84	1	4	11	156.996	17.1277
85	1	4	12	171.275	19.9385
86	1	4	13	185.993	20.1837
87	1	4	14	200.405	17.8357
88	1	4	15	213.904	13.1454
89	1	4	16	226.233	6.535
90	1	4	17	237.474	-1.53618
91	1	4	18	247.934	-10.6523
92	1	4	19	258.061	-20.4593
93	1	4	20	268.448	-30.6414
94	1	4	21	279.954	-40.8667
95	1	4	22	294.002	-50.6782
96	1	4	23	313.073	-59.2523
97	1	5	0	340.152	-64.8258
98	1	5	1	13.3881	-65.4161
99	1	5	2	42.2593	-60.5615
100	1	5	3	62.6868	-52.3948
101	1	5	4	77.4823	-42.747
102	1	5	5	89.3553	-32.5613
103	1	5	6	99.8888	-22.3418
104	1	5	7	110.022	-12.4345
105	1	5	8	120.386	-3.15336
106	1	5	9	131.456	5.15707
107	1	5	10	143.569	12.0924
108	1	5	11	156.865	17.1963
109	1	5	12	171.157	20.0285
110	1	5	13	185.895	20.2931
111	1	5	14	200.331	17.96
112	1	5	15	213.854	13.2796
113	1	5	16	226.203	6.67467
114	1	5	17	237.46	-1.39409
115	1	5	18	247.932	-10.5095
116	1	5	19	258.067	-20.3166
117	1	5	20	268.458	-30.4989
118	1	5	21	279.962	-40.7241
119	1	5	22	293.995	-50.5355
120	1	5	23	313.018	-59.1124
121	1	6	0	339.993	-64.6948
122	1	6	1	13.1101	-65.3249
123	1	6	2	41.9745	-60.5156
124	1	6	3	62.447	-52.3773
125	1	6	4	77.2816	-42.7428
126	1	6	5	89.1804	-32.561
127	1	6	6	99.7294	-22.3392
128	1	6	7	109.871	-12.4248
129	1	6	8	120.24	-3.13242
130	1	6	9	131.312	5.19314
131	1	6	10	143.429	12.1471
132	1	6	11	156.733	17.2722
133	1	6	12	171.04	20.126
134	1	6	13	185.799	20.4098
135	1	6	14	200.261	18.0913
136	1	6	15	213.808	13.4201
137	1	6	16	226.178	6.82001
138	1	6	17	237.451	-1.2469
139	1	6	18	247.935	-10.3622
140	1	6	19	258.079	-20.1696
